,search_term,_ - eng_search_key,Class,_ - url,_ - Название,Comment on relevancs,_ - Номер ГИМ,_ - Отдел/коллекция,_ - Инвентарный номер,_ - Датировка,_ - Размер,"_ - Материал, техника",_ - Номер ГК,_ - Ключевые слова,_ - Место создания,Contemporary_Toponyms,fcodeName,toponymName,coordinates,lat,long,Country,geonames 3,"_ - Автор, мастер/Изготовитель",_ - Шифр ОПИ,_ - Комплект,_ - Место находки,_ - Формат,"_ - Лист, страницы",_ - Археологический памятник,_ - Персоналии,_ - Многотомное издание: автор,_ - Многотомное издание: Название,_ - Экспозиция,_ - Выставки,_ - Альбомы,_ - Аннотация
10,идиш,Yiddish,Jewish,https://catalog.shm.ru/entity/OBJECT/132211?query=%D0%B8%D0%B4%D0%B8%D1%88&index=5,"Ангел над крышами : Стихи. Проза. Статьи. Выступления. Письма /  Марк Шагал; Пер. с идиш, [сост., написал предисл., с. 6-21, и коммент.] Л. Беринский",,ГИМ 107841/21,Книжный фонд/Книги с 1945 г. по настоящее время,МФ-1112,1989,"16х10,3х1,2 см",,11025253.0,Москва,Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",Шагал Марк Захарович (1887-1985),,,,,,,,,,,,,
11,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/132607?page=3&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=112,Антисемитизм в России и другие статьи по еврейскому вопросу /  Предисл. К. К. Арсеньева,,ГИМ 106046/51,Книжный фонд/Книги второй половины XIX – начала XX вв.,МФ/3-1705,1917,"25,6х15,8х1,3 см",,14537876.0,антисиметизм,Петроград,Петроград,seat of a first-order administrative division,Saint Petersburg,"59.93863,30.31413",59.93863,30.31413,Russia,"city, village,...",Толстой Иван Иванович (1858-1916),,,,,,,,,,,,,
12,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/133565?page=3&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=134,"Повесть о рыжем Мотэле, господине инспекторе, раввине Исайе и комиссаре Блох",,ГИМ 108456/38,Книжный фонд/Книги 1918-1941 гг.,МФ-1564,1926,"23,5х18,6х0,2 см",,8343271.0,Москва,Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",Уткин  Иосиф Павлович (1903-1933),,,,,,,,,,,Энергия мечты. К 100-летию Великой русской революции 1917 года. Москва. 02.11.2017-19.02.2018,,"«Повесть о рыжем Мотэле...», бедном еврейском портном и переменах, внесенных революцией в его жизнь, - первая книга и первый настоящий успех молодого поэта Иосифа Павловича Уткина (1903-1933). В 1924 г. Иркутский губком комсомола направил Уткина учиться в Москву, где и началась его поэтическая биография. Повесть, опубликованная в журнале «Молодая гвардия» № 4 за 1925 г., стала заметным литературным событием. В следующем году произведение с иллюстрациями К.П. Ротова вышло отдельным изданием.

Подробнее см.: Энергия мечты. К 100-летию Великой российской революции. – М., 2017."
13,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/134946?page=5&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=237,Часть III,,ГИМ 108891/12,Книжный фонд/Книги XVIII в.,МФ/1-258,1785,"21,4х13,5х4,4 см",,11666740.0,Москва,Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...","Милло, Клод Франсуа Ксавье (Millot, Claude-François-Xavier). 1726-1785",,,,,,,,"Милло, Клод Франсуа Ксавье (Millot, Claude-François-Xavier)","Древняя и новая история, от начала мира до настоящаго времени, содержащая в первых четырех частях историю египтян, китайцов, ассириян и вавилонян, финикиян, евреев, мидян и персов, индиян, скифов и цельтов, греков, римлян и карфагенян, с присовокуплением общих примечаний о других древних асийских народах; а в последующих пяти частях всех империй, королевств, республик и других владений, в Европе ныне известных. Сочинение г. аббата Миллота, члена многих Академий; [Пер. М. И. Багрянского]. В 9-ти ч. Москва : Иждивением Типографической компании, В вольной типографии И. Лопухина, с указного дозволения, 1785.",,,,
14,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/134947?page=5&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=238,Часть IV,,ГИМ 108891/13,Книжный фонд/Книги XVIII в.,МФ/1-259,1785,"21,3х13х4 см",,11667573.0,Москва,Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...","Милло, Клод Франсуа Ксавье (Millot, Claude-François-Xavier). 1726-1785",,,,,,,,"Милло, Клод Франсуа Ксавье (Millot, Claude-François-Xavier)","Древняя и новая история, от начала мира до настоящаго времени, содержащая в первых четырех частях историю египтян, китайцов, ассириян и вавилонян, финикиян, евреев, мидян и персов, индиян, скифов и цельтов, греков, римлян и карфагенян, с присовокуплением общих примечаний о других древних асийских народах; а в последующих пяти частях всех империй, королевств, республик и других владений, в Европе ныне известных. Сочинение г. аббата Миллота, члена многих Академий; [Пер. М. И. Багрянского]. В 9-ти ч. Москва : Иждивением Типографической компании, В вольной типографии И. Лопухина, с указного дозволения, 1785.",,,,
15,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/134948?page=5&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=239,Часть V,,ГИМ 108891/14,Книжный фонд/Книги XVIII в.,МФ/1-260,1785,"21,3х13х4 см",,11666664.0,Москва,Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...","Милло, Клод Франсуа Ксавье (Millot, Claude-François-Xavier). 1726-1785",,,,,,,,"Милло, Клод Франсуа Ксавье (Millot, Claude-François-Xavier)","Древняя и новая история, от начала мира до настоящаго времени, содержащая в первых четырех частях историю египтян, китайцов, ассириян и вавилонян, финикиян, евреев, мидян и персов, индиян, скифов и цельтов, греков, римлян и карфагенян, с присовокуплением общих примечаний о других древних асийских народах; а в последующих пяти частях всех империй, королевств, республик и других владений, в Европе ныне известных. Сочинение г. аббата Миллота, члена многих Академий; [Пер. М. И. Багрянского]. В 9-ти ч. Москва : Иждивением Типографической компании, В вольной типографии И. Лопухина, с указного дозволения, 1785.",,,,
16,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/134949?page=5&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=240,Часть VI,,ГИМ 108891/15,Книжный фонд/Книги XVIII в.,МФ/1-261,1785,"21,3х13,5х4,5 см",,11667313.0,Москва,Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...","Милло, Клод Франсуа Ксавье (Millot, Claude-François-Xavier). 1726-1785",,,,,,,,"Милло, Клод Франсуа Ксавье (Millot, Claude-François-Xavier)","Древняя и новая история, от начала мира до настоящаго времени, содержащая в первых четырех частях историю египтян, китайцов, ассириян и вавилонян, финикиян, евреев, мидян и персов, индиян, скифов и цельтов, греков, римлян и карфагенян, с присовокуплением общих примечаний о других древних асийских народах; а в последующих пяти частях всех империй, королевств, республик и других владений, в Европе ныне известных. Сочинение г. аббата Миллота, члена многих Академий; [Пер. М. И. Багрянского]. В 9-ти ч. Москва : Иждивением Типографической компании, В вольной типографии И. Лопухина, с указного дозволения, 1785.",,,,
17,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/134950?page=5&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=241,Часть VII,,ГИМ 108891/16,Книжный фонд/Книги XVIII в.,МФ/1-262,1785,"21,3х13,2х4,5 см",,11667522.0,Москва,Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...","Милло, Клод Франсуа Ксавье (Millot, Claude-François-Xavier). 1726-1785",,,,,,,,"Милло, Клод Франсуа Ксавье (Millot, Claude-François-Xavier)","Древняя и новая история, от начала мира до настоящаго времени, содержащая в первых четырех частях историю египтян, китайцов, ассириян и вавилонян, финикиян, евреев, мидян и персов, индиян, скифов и цельтов, греков, римлян и карфагенян, с присовокуплением общих примечаний о других древних асийских народах; а в последующих пяти частях всех империй, королевств, республик и других владений, в Европе ныне известных. Сочинение г. аббата Миллота, члена многих Академий; [Пер. М. И. Багрянского]. В 9-ти ч. Москва : Иждивением Типографической компании, В вольной типографии И. Лопухина, с указного дозволения, 1785.",,,,
18,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/134951?page=5&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=242,Часть VIII,,ГИМ 108891/17,Книжный фонд/Книги XVIII в.,МФ/1-263,1785,"21,5х13х4,7 см",,11666909.0,Москва,Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...","Милло, Клод Франсуа Ксавье (Millot, Claude-François-Xavier). 1726-1785",,,,,,,,"Милло, Клод Франсуа Ксавье (Millot, Claude-François-Xavier)","Древняя и новая история, от начала мира до настоящаго времени, содержащая в первых четырех частях историю египтян, китайцов, ассириян и вавилонян, финикиян, евреев, мидян и персов, индиян, скифов и цельтов, греков, римлян и карфагенян, с присовокуплением общих примечаний о других древних асийских народах; а в последующих пяти частях всех империй, королевств, республик и других владений, в Европе ныне известных. Сочинение г. аббата Миллота, члена многих Академий; [Пер. М. И. Багрянского]. В 9-ти ч. Москва : Иждивением Типографической компании, В вольной типографии И. Лопухина, с указного дозволения, 1785.",,,,
19,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/135131?page=3&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=134,Ч. I : XV-XVII ст. /  Сост. зав. музеем Н. Е. Бранденбург,,ГИМ 105191/133,Книжный фонд/Книги второй половины XIX – начала XX вв.,МФ/3-133,1887,"24,3х18,5х3,5 см",,11667480.0,Санкт-Петербург,Санкт-Петербург,Санкт-Петербург,seat of a first-order administrative division,Saint Petersburg,"59.93863,30.31413",59.93863,30.31413,Russia,"city, village,...","Бранденбург, Николай Ефимович. 1839-1903",,,,,,,,"Бранденбург, Николай Ефимович","Исторический каталог Санкт-Петербургского Артиллерийского музея : Часть I, III / Сост. заведующий музеем Н. Е. Бранденбург. Санкт-Петербург : тип. Артиллерийского журнала, 1887-1889.",,,,
20,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/135132?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=238,Ч. 3 : Приложение,,ГИМ 105191/134,Книжный фонд/Книги второй половины XIX – начала XX вв.,МФ/3-134,1889,"25,5х16,8х3,2 см",,11666615.0,Санкт-Петербург,Санкт-Петербург,Санкт-Петербург,seat of a first-order administrative division,Saint Petersburg,"59.93863,30.31413",59.93863,30.31413,Russia,"city, village,...","Бранденбург, Николай Ефимович. 1839-1903",,,,,,,,"Бранденбург, Николай Ефимович","Исторический каталог Санкт-Петербургского Артиллерийского музея : Часть I, III / Сост. заведующий музеем Н. Е. Бранденбург. Санкт-Петербург : тип. Артиллерийского журнала, 1887-1889.",,,,
21,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/136791?query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=22,Книга. Еврей саздары. (Өлеңдер),,ГИМ 99550/197,Книжный фонд/Фонд экспедиций и мемориальных сборов,ФЭ-515,1965,"12,5х10х0,2 см",,17015155.0,библиотека,Алма-Ата,Алма-Ата,seat of a first-order administrative division,Almaty,"43.25,76.91667",43.25,76.91667,Kazakhstan,"city, village,...",Байрон Д.,,[Библиотека великих поэтов] = Ұлы ақындар кiтапханасы. 1966 г.,,,,,,,,,,,
22,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/140382?page=4&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=159,"Евреи за плугом : Прилож. к газете ""Сельскохозяйств. рабочий""",,ГИМ 109810/219,Книжный фонд/Книги 1918-1941 гг.,МФ-2075,1930,"18х13,5х0,3 см",,8343273.0,Москва,Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",Финк Виктор Григорьевич (1888-1973),,,,,,,,,,,,,
23,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/140386?page=3&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=131,Еврейская автономная область к XVIII годовщине Октября /  М. П. Хавкин Секретарь обкома ВКП(б) ЕвАО и Биробиджанского горкома ВКП(б) ; Всесоюзное общество по земельному устройству трудящихся ЕВРЕозет в СССР,,ГИМ 109810/223,Книжный фонд/Книги 1918-1941 гг.,МФ-2079,1936,"15х11,3х0,3 см",,8388238.0,СССР Москва,Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",Хавкин Матвей Павлович,,,,,,,,,,,,,
24,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/140440?page=2&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=54,Вопросы еврейского здравоохранения в свободной России /  Общество охранения здоровья еврейского населения,,ГИМ 109810/236,Книжный фонд/Книги второй половины XIX – начала XX вв.,МФ-2092,1917,"24,3х14,6х0,2 см",,14572227.0,,Петроград,Петроград,seat of a first-order administrative division,Saint Petersburg,"59.93863,30.31413",59.93863,30.31413,Russia,"city, village,...",Шварцман Моисей Самойлович,,,,,,,,,,,,,
25,иудейский,hebrew (adjective),Jewish,https://catalog.shm.ru/entity/OBJECT/141783?query=%D0%B8%D1%83%D0%B4%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=3,Царь Иудейский. Драма в четырех действиях и пяти картинах/К. Р.,,ГИМ 106089/3,Книжный фонд/Книги второй половины XIX – начала XX вв.,МФ-345,1914,"33,5х25х4,3 см",,11667090.0,Санкт-Петербург,Санкт-Петербург,Санкт-Петербург,seat of a first-order administrative division,Saint Petersburg,"59.93863,30.31413",59.93863,30.31413,Russia,"city, village,...","Константин Константинович, вел. кн.",,,,,,,,,,,,,
26,иудейский,hebrew (adjective),Jewish,https://catalog.shm.ru/entity/OBJECT/142314?query=%D0%B8%D1%83%D0%B4%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=36,Часть первая.,,ГИМ 113665/2,Книжный фонд/Книги XVIII в.,МФ/1-461,1786,"25,2х20,5х3 см","Бумага, картон, кожа, аппретированная ткань, типографская печать",11667179.0,кожа картон типографская печать Санкт-Петербург,Санкт-Петербург,Санкт-Петербург,seat of a first-order administrative division,Saint Petersburg,"59.93863,30.31413",59.93863,30.31413,Russia,"city, village,...",Иосиф Флавий (Josephus Flavius). ок.37-ок.95,,,,,,,,Иосиф Флавий (Josephus Flavius),"Иосифа Флавия О войне иудейской. С Латинскаго на Российской язык переведена Колыванскаго Наместничества Верхней Расправы Председателем Титулярным Советником Михайлом Алексеевым. Санкт-Петербург : при Императорской Академии Наук, 1786-1787.",,,,
27,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/142548?page=3&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=133,"Толкование на псалтирь по тексту еврейскому и греческому, истолкованное тщанием и трудами Святейшего правительствующего синода члена, покойного архиепископа Псковского, Лифляндского и Курляндского и кавалера Иринея : Ч. 1. - 6-е изд.",,ГИМ 104028/140,Книжный фонд/Книги XVIII – начала XX вв. бывшего филиала Исторического музея «Новодевичий монастырь»,МБ-140,1863,"26,5х16,8х4 см",,11666854.0,Москва,Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",Беллармино Роберто,,,,,,,,,,,,,
28,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/142957?page=3&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=135,"Летопись иже во святых отца нашего Димитрия, митрополита Ростовскаго, новоявленнаго чудотворца, сказующая вкратце деяния от начала миробытия до рождества Христова, собранная из божественных писаний, из различных хронографов и историков, греческих, славенских, римских, польских, еврейских и иных ; с присовокуплением Келейной летописи сего же святаго чудотворца",,ГИМ 104028/1314,Книжный фонд/Книги XVIII – начала XX вв. бывшего филиала Исторического музея «Новодевичий монастырь»,МБ-1314,1784,"21,9х13,4х5,9 см","Картон, кожа, типографская печать",11666927.0,кожа картон типографская печать,[М.],М,seat of a first-order administrative division,Bimbo,"4.25671,18.41583",4.25671,18.41583,Central African Republic,"city, village,...","Димитрий (Туптало Даниил Савич), (1651-1709)",,,,,,,,,,,,,
29,иудейский,hebrew (adjective),Jewish,https://catalog.shm.ru/entity/OBJECT/143653?query=%D0%B8%D1%83%D0%B4%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=37,Часть вторая,,ГИМ 104028/1749,Книжный фонд/Книги XVIII – начала XX вв. бывшего филиала Исторического музея «Новодевичий монастырь»,МБ-1749,1787,"24,5х19,2х3,6 см",,14545773.0,Санкт-Петербург,Санкт-Петербург,Санкт-Петербург,seat of a first-order administrative division,Saint Petersburg,"59.93863,30.31413",59.93863,30.31413,Russia,"city, village,...",Иосиф Флавий (Josephus Flavius). ок.37-ок.95,,,,,,,,Иосиф Флавий (Josephus Flavius),"Иосифа Флавия О войне иудейской. С Латинскаго на Российской язык переведена Колыванскаго Наместничества Верхней Расправы Председателем Титулярным Советником Михайлом Алексеевым. Санкт-Петербург : при Императорской Академии Наук, 1786-1787.",,,,
30,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/145960?page=5&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=236,Часть IV,,ГИМ 104028/2027,Книжный фонд/Книги XVIII – начала XX вв. бывшего филиала Исторического музея «Новодевичий монастырь»,МБ-2027,1785,"21,4х13,1х3,3 см","Картон, кожа, типографская печать, тиснение",14545612.0,кожа картон типографская печать Москва,Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...","Милло, Клод Франсуа Ксавье (Millot, Claude-François-Xavier). 1726-1785",,,,,,,,"Милло, Клод Франсуа Ксавье (Millot, Claude-François-Xavier)","Древняя и новая история, от начала мира до настоящаго времени, содержащая в первых четырех частях историю египтян, китайцов, ассириян и вавилонян, финикиян, евреев, мидян и персов, индиян, скифов и цельтов, греков, римлян и карфагенян, с присовокуплением общих примечаний о других древних асийских народах; а в последующих пяти частях всех империй, королевств, республик и других владений, в Европе ныне известных. Сочинение г. аббата Миллота, члена многих Академий; [Пер. М. И. Багрянского]. В 9-ти ч. Москва : Иждивением Типографической компании, В вольной типографии И. Лопухина, с указного дозволения, 1785.",,,,
31,иудейский,hebrew (adjective),Jewish,https://catalog.shm.ru/entity/OBJECT/146554?query=%D0%B8%D1%83%D0%B4%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=35,Часть первая,,ГИМ 104028/1726,Книжный фонд/Книги XVIII – начала XX вв. бывшего филиала Исторического музея «Новодевичий монастырь»,МБ-1726,1786,"24,7х19,2х3,1 см",,14545821.0,Санкт-Петербург,Санкт-Петербург,Санкт-Петербург,seat of a first-order administrative division,Saint Petersburg,"59.93863,30.31413",59.93863,30.31413,Russia,"city, village,...",Иосиф Флавий (Josephus Flavius). ок.37-ок.95,,,,,,,,Иосиф Флавий (Josephus Flavius),"Иосифа Флавия О войне иудейской. С Латинскаго на Российской язык переведена Колыванскаго Наместничества Верхней Расправы Председателем Титулярным Советником Михайлом Алексеевым. Санкт-Петербург : при Императорской Академии Наук, 1786-1787.",,,,
32,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/146560?page=3&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=132,"Толкование на псалтирь по тексту еврейскому и греческому, истолкованное тщанием и трудами Святейшего правительствующего синода члена, покойного архиепископа Псковского, Лифляндского и Курляндского и кавалера Иринея : Ч. 1. - 6-е изд.",,ГИМ 104028/141,Книжный фонд/Книги XVIII – начала XX вв. бывшего филиала Исторического музея «Новодевичий монастырь»,МБ-141,1863,"25х16,8х3,3 см",,11667435.0,Москва,Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",Беллармино Роберто,,,,,,,,,,,,,
33,жид,jew (derogative),Jewish,https://catalog.shm.ru/entity/OBJECT/146572?query=%D0%B6%D0%B8%D0%B4&index=27,"Легенда об Агасфере – «вечном жиде» : поэмы Шубарта, Ленау и Беранже /  Предисловие М. Горького",,ГИМ 105461/355,Книжный фонд/Книги 1918-1941 гг.,МФ/4-414,1919,"18,5х13,8х0,3 см",,8388333.0,,Петербург,Петербург,seat of a first-order administrative division,Saint Petersburg,"59.93863,30.31413",59.93863,30.31413,Russia,"city, village,...",Шубарт Христиан Фридрих Даниель (1739-1791),,,,,,,,,,,,,
