,Reg number,Museum number,url,subject,query,Object type,Title,Type 1,Type 2,Denomination,Escapement,Description,Producer name,School/style,State,Authority,Ethnic name (made by),Ethnic name (assoc),Culture,Production date,Find|ProductionLocation,Toponym,"lat,lng",Production place - comment,Find spot 2,Find spot - comments,Materials,Ware,Type series,Technique,Dimensions,Inscription,Curators Comments,Bib references,Location,Exhibition history,Condition,Subjects,Assoc name,Assoc place,Assoc events,Assoc titles,Acq name (acq),Acq name (finding),Acq name (excavator),Acq name (previous),Acq date,Acq notes (acq),Acq notes (exc),Dept,BM/Big number,Add ids,Cat no,Banknote serial number,Joined objects,Image
10,"19,940,407.50","19,940,407.50",https://www.britishmuseum.org/collection/object/C_1994-0407-5,armenian,armenia,banknote; specimen,,money,,25 dram,,"Banknote (twenty five).
Specimen.",,,,Government of Armenia,,,,1993,Issued in|Issued in,Russian Federation|Republic of Armenia,"60,100|40.25,45",Europe,,,paper,,,,Length: 126.000 millimetres; Width: 62.000 millimetres,,,,Not on display,,,,,,,,,,,,1994,,,Coins and Medals,,,,3752599,,
11,"19,940,407.10","19,940,407.10",https://www.britishmuseum.org/collection/object/C_1994-0407-1,armenian,armenia,banknote; specimen,,money,,500 dram,,"Banknote (500 drams).
Specimen.",,,,Government of Armenia,,,,1993,Issued in|Issued in,Russian Federation|Republic of Armenia,"60,100|40.25,45",Europe,,,paper,,,,Length: 134.000 millimetres; Width: 64.000 millimetres,,,,Not on display,,,,,,,,,,,,1994,,,Coins and Medals,,,,612504,,
12,"19,940,407.20","19,940,407.20",https://www.britishmuseum.org/collection/object/C_1994-0407-2,armenian,armenia,banknote; specimen,,money,,200 dram,,"Banknote (200 drams).
Specimen.",,,,Government of Armenia,,,,1993,Issued in|Issued in,Russian Federation|Republic of Armenia,"60,100|40.25,45",Europe,,,paper,,,,Length: 135.000 millimetres; Width: 64.000 millimetres,,,,Not on display,,,,,,,,,,,,1994,,,Coins and Medals,,,,9997098,,
13,"19,940,407.40","19,940,407.40",https://www.britishmuseum.org/collection/object/C_1994-0407-4,armenian,armenia,banknote; specimen,,money,,50 dram,,"Banknote (fifty).
Specimen.",,,,Government of Armenia,,,,1993,Issued in|Issued in,Russian Federation|Republic of Armenia,"60,100|40.25,45",Europe,,,paper,,,,Length: 125.000 millimetres; Width: 61.000 millimetres,,,,Not on display,,,,,,,,,,,,1994,,,Coins and Medals,,,,12526698,,
14,CIB.53517,CIB.53517,https://www.britishmuseum.org/collection/object/C_CIB-53517,armenian,armenia,banknote,,money,,100 ruble,,Banknote.,,,,Republic of Armenia,,,,1919,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Height: 89 millimetres; Width: 139 millimetres,,,,Not on display,,,,,,,,Donated by: ifs School of Finance,,,Previous owner/ex-collection: Frederick Ernest Catling,2009,On loan from ifs School of Finance (previously Chartered Institute of Bankers) between 1987 and 2009.,,Coins and Medals,,,,U.461628,,
15,CIB.53516,CIB.53516,https://www.britishmuseum.org/collection/object/C_CIB-53516,armenian,armenia,banknote,,money,,50 ruble,,Banknote.,,,,Republic of Armenia,,,,1919,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Height: 81 millimetres; Width: 126 millimetres,,,,Not on display,,,,,,,,Donated by: ifs School of Finance,,,Previous owner/ex-collection: Frederick Ernest Catling,2009,On loan from ifs School of Finance (previously Chartered Institute of Bankers) between 1987 and 2009.,,Coins and Medals,,,,U.648725,,
16,"20,204,034.20","20,204,034.20",https://www.britishmuseum.org/collection/object/C_2020-4034-2,armenian,armenia,banknote,,money,,2000 dram,,Paper banknote.,,,,Central Bank of the Republic of Armenia,,,,2018,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 135 millimetres; Width: 71 millimetres,,,,Not on display,,,,,,,,Purchased from: Ali K Basma,Funded by: The Archibald Bequest,,,2020,,,Coins and Medals,,,,8985313,,https://media.britishmuseum.org/media/Repository/Documents/2021_4/28_9/ff76bd79_186d_43a0_9b14_ad1800a0c4c8/preview_CBA22305.jpg
17,"20,204,034.50","20,204,034.50",https://www.britishmuseum.org/collection/object/C_2020-4034-5,armenian,armenia,banknote,,money,,20000 dram,,Paper banknote.,,,,Central Bank of the Republic of Armenia,,,,2018,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 150 millimetres; Width: 71 millimetres,,,,Not on display,,,,,,,,Purchased from: Ali K Basma,Funded by: The Archibald Bequest,,,2020,,,Coins and Medals,,,,6712889,,https://media.britishmuseum.org/media/Repository/Documents/2021_4/28_9/ea774b9a_1fba_42a1_b2b2_ad1800a0cadf/preview_CBA22308.jpg
18,"20,084,102.38","20,084,102.38",https://www.britishmuseum.org/collection/object/C_2008-4102-38,armenian,armenia|armenian,banknote,,money,,10 dram,,"Armenian banknote.; Image of David of Sassoun at the top right of the note. Text and denomination. Printed in red, blue and black. Text in Armenian.; Image of Mount Ararat with secuirty patterning in background. Printed in red, green, purple and black. Text in Armenian.",,,,Government of Armenia,,,,1993,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 126 millimetres; Width: 62 millimetres,,,,Not on display,,,sculpture| landscape,,,,,Donated by: Anonymous,,,,2008,,,Coins and Medals,,,,UU 37490630,,
19,"20,204,034.30","20,204,034.30",https://www.britishmuseum.org/collection/object/C_2020-4034-3,armenian,armenia,banknote,,money,,5000 dram,,Paper banknote.,,,,Central Bank of the Republic of Armenia,,,,2018,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 140 millimetres; Width: 71 millimetres,,,,Not on display,,,,,,,,Purchased from: Ali K Basma,Funded by: The Archibald Bequest,,,2020,,,Coins and Medals,,,,2949395,,https://media.britishmuseum.org/media/Repository/Documents/2021_4/28_9/26dc97cd_0ef1_4488_b958_ad1800a0c6bd/preview_CBA22306.jpg
20,"20,204,034.60","20,204,034.60",https://www.britishmuseum.org/collection/object/C_2020-4034-6,armenian,armenia,banknote,,money,,50000 dram,,Paper banknote.,,,,Central Bank of the Republic of Armenia,,,,2018,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 155 millimetres; Width: 71 millimetres,,,,Not on display,,,,,,,,Purchased from: Ali K Basma,Funded by: The Archibald Bequest,,,2020,,,Coins and Medals,,,,1426444,,https://media.britishmuseum.org/media/Repository/Documents/2021_4/28_9/c70f06cf_2ab2_44aa_aa8d_ad1800a0cd07/preview_CBA22309.jpg
21,"20,204,034.40","20,204,034.40",https://www.britishmuseum.org/collection/object/C_2020-4034-4,armenian,armenia,banknote,,money,,10000 dram,,Paper banknote.,,,,Central Bank of the Republic of Armenia,,,,2018,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 145 millimetres; Width: 71 millimetres,,,,Not on display,,,,,,,,Purchased from: Ali K Basma,Funded by: The Archibald Bequest,,,2020,,,Coins and Medals,,,,2238193,,https://media.britishmuseum.org/media/Repository/Documents/2021_4/28_9/7dd48fff_fba0_458e_89b4_ad1800a0c8c0/preview_CBA22307.jpg
22,"20,060,405.70","20,060,405.70",https://www.britishmuseum.org/collection/object/C_2006-0405-697,armenian,armenia,banknote,,money,,50 ruble,,"Banknote.; Dragons facing each other at left and right. Denomination at centre. Design printed in brown, green and orange.; Denomination in geometrical frame at centre. Value at left and right. Geometrical border. Design printed in brown, green and orange.",,,,Republic of Armenia,,,,1919,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 125 millimetres; Width: 80 millimetres,,,,Not on display,,,dragon,,,,,Bequeathed by: Andrew Frederick Wiseman,,,,2006,Folder B4,,Coins and Medals,,,,Ա 524657,,
23,"20,204,034.10","20,204,034.10",https://www.britishmuseum.org/collection/object/C_2020-4034-1,armenian,armenia,banknote,,money,,1000 dram,,Paper banknote.,,,,Central Bank of the Republic of Armenia,,,,2018,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 129 millimetres; Width: 71 millimetres,,,,Not on display,,,,,,,,Purchased from: Ali K Basma,Funded by: The Archibald Bequest,,,2020,,,Coins and Medals,,,,ԱԱ 02708627,,https://media.britishmuseum.org/media/Repository/Documents/2021_4/28_9/6512dfcf_b330_4376_a049_ad1800a0b6b0/preview_CBA22304.jpg
24,"20,060,405.71","20,060,405.71",https://www.britishmuseum.org/collection/object/C_2006-0405-706,armenian,armenia,banknote,,money,,250 ruble,,"Banknote.; Denomination at centre. Value at left and right. Angels stepping on a dragon and flower patterns at lower left and right. Design printed in violet, green and yellow.; Woman spinning at left. Denomination in ornamental frame at right. Geometrical ornaments. Design printed in violet, green and yellow.",,,,Republic of Armenia,,,,1919,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 160 millimetres; Width: 95 millimetres,,,,Not on display,,,spinner/spinning| dragon,,,,,Bequeathed by: Andrew Frederick Wiseman,,,,2006,Folder B4,,Coins and Medals,,,,Ա 271983,,
25,"20,060,405.71","20,060,405.71",https://www.britishmuseum.org/collection/object/C_2006-0405-705,armenian,armenia,banknote,,money,,250 ruble,,"Banknote.; Denomination at centre. Value at left and right. Angels stepping on a dragon and flower patterns at lower left and right. Design printed in violet, green and yellow.; Woman spinning at left. Denomination in ornamental frame at right. Geometrical ornaments. Design printed in violet, green and yellow.",,,,Republic of Armenia,,,,1919,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 160 millimetres; Width: 95 millimetres,,,,Not on display,,,spinner/spinning| dragon,,,,,Bequeathed by: Andrew Frederick Wiseman,,,,2006,Folder B4,,Coins and Medals,,,,Ա 271918,,
26,"20,060,405.70","20,060,405.70",https://www.britishmuseum.org/collection/object/C_2006-0405-702,armenian,armenia|armenian,banknote,,money,,100 ruble,,"Banknote.; Landscape with mountains at lower centre. Denomination in french, armenian and russian at centre. Value at left and right. Design printed in green, yellow and orange.; Eagle with sword and dead snake at centre. Value at left and right. Elaborate ornamental patterns. Design printed in dark green and orange.",,,,Republic of Armenia,,,,1919,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 138 millimetres; Width: 88 millimetres,,,,Not on display,,,bird,,,,,Bequeathed by: Andrew Frederick Wiseman,,,,2006,Folder B4,,Coins and Medals,,,,Ա 493151,,
27,"20,060,405.99","20,060,405.99",https://www.britishmuseum.org/collection/object/C_2006-0405-987,armenian,armenia,banknote,,money,,500 dram,,"Banknote.; Portrait of A.Tamanyan at left. His city plan at centre. Design printed in black, grey, red and multicolour.; The House of the Government at centre. Design printed in grey and multicolour.",,,,Central Bank of the Republic of Armenia,,,,1999 (note printed); 2000 (note issued),Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 129 millimetres; Width: 72 millimetres,,,,Not on display,,,architecture,Portrait of: Alexander Tamanyan,Topographic representation of: House of the Government,,,Bequeathed by: Andrew Frederick Wiseman,,,,2006,Folder B8,,Coins and Medals,,,,Գ 15473851,,
28,"20,154,128.20","20,154,128.20",https://www.britishmuseum.org/collection/object/C_2015-4128-2,armenian,armenia,banknote,,money,,5000 dram,,"Paper banknote.; Left, portrait of H Tumanyuan, wearing collared shirt, bow tie and jacket, head, bare, facing three-quarters right; architectural feature to right: brown and green print on white background.; View of the Lory Mountains, after Saryan: green, brown and red print on white background.",After: Martivos Saryan,,,Central Bank of the Republic of Armenia,,,,2009,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 143 millimetres; Width: 72 millimetres,,,,Not on display,,,architecture| landscape| author/poet,Named in inscription & portrayed: H Tumanyuan,,,,Donated by: Dr Andrew Burnett,,,,2015,,,Coins and Medals,,,,ԲԱ 06792554,,
29,"20,154,128.10","20,154,128.10",https://www.britishmuseum.org/collection/object/C_2015-4128-1,armenian,armenia,banknote,,money,,10000 dram,,"Paper banknote.; Left, portrait of Avetik Isahakyan, wearing collared shirt, tie and jacket, head, bare, facing three-quarters right; trees to right: purple, blue and brown print on white background.; View of Gyumri with gathering of people in foreground: purple and green print on white background.",,,,Central Bank of the Republic of Armenia,,,,2012,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 150 millimetres; Width: 72 millimetres,,,,Not on display,,,architecture| landscape| author/poet| tree/bush,Portrait of: Avetik Isahakyan,Topographic representation of: Gyumri,,,Donated by: Dr Andrew Burnett,,,,2015,,,Coins and Medals,,,,ԳԱ 20454925,,https://media.britishmuseum.org/media/Repository/Documents/2015_9/3_15/72a0f1ea_c270_47e9_85e1_a50800ff76f1/preview_CBA345178r.jpg
30,"20,154,128.30","20,154,128.30",https://www.britishmuseum.org/collection/object/C_2015-4128-3,armenian,armenia,banknote,,money,,1000 dram,,"Paper banknote.; Left, portrait of Yeghishe Charents, wearing collared shirt and tie, head, bare, facing three-quarters right; pen to right: green, blue and pink print on white background.; View of the Yerevan old city, three-quarter view of street, horses pulling open carriage three-quarters left to right: green/grey and yellow print on white background.",,,,Central Bank of the Republic of Armenia,,,,2011,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 137 millimetres; Width: 72 millimetres,,,,Not on display,,,architecture| landscape| author/poet| equestrian,Named in inscription & portrayed: Yeghishe Charents,Topographic representation of: Yerevan,,,Donated by: Dr Andrew Burnett,,,,2015,,,Coins and Medals,,,,ԱԱ 31422305,,https://media.britishmuseum.org/media/Repository/Documents/2015_9/3_15/d6845f38_170b_4c2c_9810_a50800ff7fd8/preview_CBA345180.jpg
31,"20,154,128.40","20,154,128.40",https://www.britishmuseum.org/collection/object/C_2015-4128-4,armenian,armenia,banknote,,money,,1000 dram,,"Paper banknote.; Left, portrait of Yeghishe Charents, wearing collared shirt and tie, head, bare, facing three-quarters right; pen to right: green, blue and pink print on white background.; View of the Yerevan old city, three-quarter view of street, horses pulling open carriage three-quarters left to right: green/grey and yellow print on white background.",,,,Central Bank of the Republic of Armenia,,,,2011,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 137 millimetres; Width: 72 millimetres,,,,Not on display,,,architecture| landscape| author/poet| equestrian,Named in inscription & portrayed: Yeghishe Charents,Topographic representation of: Yerevan,,,Donated by: Dr Andrew Burnett,,,,2015,,,Coins and Medals,,,,ԱԱ16547351,,https://media.britishmuseum.org/media/Repository/Documents/2015_9/3_15/f33b8709_a5a6_46a6_8f80_a50800ff829b/preview_CBA345181.jpg
32,"20,060,405.70","20,060,405.70",https://www.britishmuseum.org/collection/object/C_2006-0405-703,armenian,armenia,banknote,,money,,5 ruble,,Banknote.; Text at centre. Design printed in black and grey.; Blank.,,,,"Government Bank, Yerevan Branch",,,,1919,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 107 millimetres; Width: 65 millimetres,,,,Not on display,,,,,,,,Bequeathed by: Andrew Frederick Wiseman,,,,2006,Folder B4,,Coins and Medals,,,,13  106,,
33,"20,060,405.70","20,060,405.70",https://www.britishmuseum.org/collection/object/C_2006-0405-704,armenian,armenia,banknote,,money,,10 ruble,,Banknote.; Text at centre. Design printed in black and pink.; Blank.,,,,"Government Bank, Yerevan Branch",,,,1919,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 107 millimetres; Width: 65 millimetres,,,,Not on display,,,,,,,,Bequeathed by: Andrew Frederick Wiseman,,,,2006,Folder B4,,Coins and Medals,,,,6  110,,
34,CIB.17904,CIB.17904,https://www.britishmuseum.org/collection/object/C_CIB-17904,armenian,armenia,banknote,,money,,100 ruble,,Banknote (100 rubles).,,,,,,,,1919,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 177.000 millimetres; Width: 103.000 millimetres,,,,Not on display,,,,,,,,Donated by: ifs School of Finance,,,,2009,On loan from ifs School of Finance (previously Chartered Institute of Bankers) between 1987 and 2009.,,Coins and Medals,,,,136,,
35,CIB.17910,CIB.17910,https://www.britishmuseum.org/collection/object/C_CIB-17910,armenian,armenia,banknote,,money,,500 ruble,,Banknote (500 rubles).,,,,,,,,1919,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 181 millimetres; Width: 103 millimetres,,,,Not on display,,,,,,,,Donated by: ifs School of Finance,,,,2009,On loan from ifs School of Finance (previously Chartered Institute of Bankers) between 1987 and 2009.,,Coins and Medals,,,,330,,
36,CIB.17900,CIB.17900,https://www.britishmuseum.org/collection/object/C_CIB-17900,armenian,armenia,banknote,,money,,25 ruble,,Banknote (25 rubles).,,,,,,,,1919,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 107.000 millimetres; Width: 65.000 millimetres,,,,Not on display,,,,,,,,Donated by: ifs School of Finance,,,,2009,On loan from ifs School of Finance (previously Chartered Institute of Bankers) between 1987 and 2009.,,Coins and Medals,,,,106,,
37,CIB.17907,CIB.17907,https://www.britishmuseum.org/collection/object/C_CIB-17907,armenian,armenia,banknote,,money,,1000 ruble,,Banknote (100 rubles).,,,,,,,,1919,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 177.000 millimetres; Width: 106.000 millimetres,,,,Not on display,,,,,,,,Donated by: ifs School of Finance,,,,2009,On loan from ifs School of Finance (previously Chartered Institute of Bankers) between 1987 and 2009.,,Coins and Medals,,,,226,,
38,CIB.17905,CIB.17905,https://www.britishmuseum.org/collection/object/C_CIB-17905,armenian,armenia,banknote,,money,,10000 ruble,,Banknote (10000 rubles).,,,,,,,,1919,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 176.000 millimetres; Width: 102.000 millimetres,,,,Not on display,,,,,,,,Donated by: ifs School of Finance,,,,2009,On loan from ifs School of Finance (previously Chartered Institute of Bankers) between 1987 and 2009.,,Coins and Medals,,,,20,,
39,CIB.17898,CIB.17898,https://www.britishmuseum.org/collection/object/C_CIB-17898,armenian,armenia,banknote,,money,,100 ruble,,Banknote (100 rubles).,,,,,,,,1919,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 108.000 millimetres; Width: 66.000 millimetres,,,,Not on display,,,,,,,,Donated by: ifs School of Finance,,,,2009,On loan from ifs School of Finance (previously Chartered Institute of Bankers) between 1987 and 2009.,,Coins and Medals,,,,106,,
40,CIB.17906,CIB.17906,https://www.britishmuseum.org/collection/object/C_CIB-17906,armenian,armenia,banknote,,money,,25 ruble,,Banknote (25 rubles).,,,,,,,,1919,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 177.000 millimetres; Width: 102.000 millimetres,,,,Not on display,,,,,,,,Donated by: ifs School of Finance,,,,2009,On loan from ifs School of Finance (previously Chartered Institute of Bankers) between 1987 and 2009.,,Coins and Medals,,,,140,,
41,CIB.17908,CIB.17908,https://www.britishmuseum.org/collection/object/C_CIB-17908,armenian,armenia,banknote,,money,,5000 ruble,,Banknote (5000 rubles).,,,,,,,,1919,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 179.000 millimetres; Width: 102.000 millimetres,,,,Not on display,,,,,,,,Donated by: ifs School of Finance,,,,2009,On loan from ifs School of Finance (previously Chartered Institute of Bankers) between 1987 and 2009.,,Coins and Medals,,,,30,,
42,CIB.17901,CIB.17901,https://www.britishmuseum.org/collection/object/C_CIB-17901,armenian,armenia,banknote,,money,,10 ruble,,Banknote (10 rubles).,,,,,,,,1919,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 111.000 millimetres; Width: 68.000 millimetres,,,,Not on display,,,,,,,,Donated by: ifs School of Finance,,,,2009,On loan from ifs School of Finance (previously Chartered Institute of Bankers) between 1987 and 2009.,,Coins and Medals,,,,34,,
43,CIB.17909,CIB.17909,https://www.britishmuseum.org/collection/object/C_CIB-17909,armenian,armenia,banknote,,money,,250 ruble,,Banknote (250 rubles).,,,,,,,,1919,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 177.000 millimetres; Width: 102.000 millimetres,,,,Not on display,,,,,,,,Donated by: ifs School of Finance,,,,2009,On loan from ifs School of Finance (previously Chartered Institute of Bankers) between 1987 and 2009.,,Coins and Medals,,,,232,,
44,CIB.17899,CIB.17899,https://www.britishmuseum.org/collection/object/C_CIB-17899,armenian,armenia,banknote,,money,,50 ruble,,Banknote (50 rubles).,,,,,,,,1919,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 109.000 millimetres; Width: 62.000 millimetres,,,,Not on display,,,,,,,,Donated by: ifs School of Finance,,,,2009,On loan from ifs School of Finance (previously Chartered Institute of Bankers) between 1987 and 2009.,,Coins and Medals,,,,102,,
45,CIB.17897,CIB.17897,https://www.britishmuseum.org/collection/object/C_CIB-17897,armenian,armenia,banknote,,money,,5 ruble,,Banknote (5 rubles).,,,,,,,,1919,Issued in,Republic of Armenia,"40.25,45",,,,paper,,,,Length: 109.000 millimetres; Width: 64.000 millimetres,,,,Not on display,,,,,,,,Donated by: ifs School of Finance,,,,2009,On loan from ifs School of Finance (previously Chartered Institute of Bankers) between 1987 and 2009.,,Coins and Medals,,,,104,,
